# Strain, f_max, p, Sigma, DeltaPhi, num_broken
6.579753641443047800e-03,1.160653676847871012e-02,1.880946697153641767e-01,7.723952071894317442e+02,1.062026700329298801e-01,0.000000000000000000e+00
6.857765665396570350e-03,1.258453854404424123e-02,1.985500787643830756e-01,7.709624973628742737e+02,1.117608301518173697e-01,0.000000000000000000e+00
7.135777689350092032e-03,1.369127735658659702e-02,2.092655925948178619e-01,7.690101674509623990e+02,1.173712656431135370e-01,0.000000000000000000e+00
7.413789713303614581e-03,1.494340826226565715e-02,2.202772289113760773e-01,7.665494302906043913e+02,1.230372591251492204e-01,0.000000000000000000e+00
7.483292719291994785e-03,1.527238138424567154e-02,2.230597666092800080e-01,7.658600952000205098e+02,1.244592106654134889e-01,0.000000000000000000e+00
7.599434110401763649e-03,1.584779264786713437e-02,2.277635870598092027e-01,7.646377833975110434e+02,1.268447093318351704e-01,0.000000000000000000e+00
7.764887828004073123e-03,1.672468287867353090e-02,2.345852855805800330e-01,7.627459713211728740e+02,1.302633513991661718e-01,0.000000000000000000e+00
7.930341545606383463e-03,1.766675705050399156e-02,2.415445304594981968e-01,7.606813646128620121e+02,1.337042743287680524e-01,0.000000000000000000e+00
8.095795263208692069e-03,1.867866681785831928e-02,2.486527766596787203e-01,7.584451455621616560e+02,1.371679696601958709e-01,0.000000000000000000e+00
8.261248980811002410e-03,1.976546727194949948e-02,2.559229408785073656e-01,7.560383260496855655e+02,1.406550700828946843e-01,0.000000000000000000e+00
8.426702698413311016e-03,2.093276103728946777e-02,2.633700541760728986e-01,7.534616962294995801e+02,1.441663676162037999e-01,0.000000000000000000e+00
8.592156416015621356e-03,2.218679101224815819e-02,2.710113730451667036e-01,7.507158055828672332e+02,1.477027671857518432e-01,0.000000000000000000e+00
8.633519845416198074e-03,2.250756300909132965e-02,2.729385347367171422e-01,7.500056970368541442e+02,1.485891607758476063e-01,0.000000000000000000e+00
8.702978474372248183e-03,2.306163524878633228e-02,2.762100119708237322e-01,7.487886324759830359e+02,1.500818249290413742e-01,0.000000000000000000e+00
8.803410634172526353e-03,2.389703504874796797e-02,2.810192054005534179e-01,7.469748019309264464e+02,1.522492805417998141e-01,0.000000000000000000e+00
8.903842793972802788e-03,2.476936282882611501e-02,2.859147038240836269e-01,7.450991307020184422e+02,1.544265371145359389e-01,0.000000000000000000e+00
9.004274953773080958e-03,2.568048580611924370e-02,2.909019094006974337e-01,7.431616462495554742e+02,1.566137760241314292e-01,0.000000000000000000e+00
9.104707113573359128e-03,2.663248189102159630e-02,2.959869285881718826e-01,7.411623369535417396e+02,1.588112350188150002e-01,0.000000000000000000e+00
9.205139273373635564e-03,2.764086717109335775e-02,3.011764348954197867e-01,7.391011459183296211e+02,1.610191071749678404e-01,0.000000000000000000e+00
9.305571433173913734e-03,2.869898469060357810e-02,3.064778217456616272e-01,7.369779710342144199e+02,1.632375950806201903e-01,0.000000000000000000e+00
9.406003592974190169e-03,2.980824392440525189e-02,3.118990938766996734e-01,7.347926655623173247e+02,1.654668705280279706e-01,0.000000000000000000e+00
9.506435752774468340e-03,3.097211491904784328e-02,3.174491469386546694e-01,7.325450445108073154e+02,1.677071260925509510e-01,0.000000000000000000e+00
9.606867912574746510e-03,3.219458096280089499e-02,3.231381688852816847e-01,7.302348631912565224e+02,1.699585581466860618e-01,0.000000000000000000e+00
9.631975952524815185e-03,3.250375520626185705e-02,3.245712690270287637e-01,7.296492449733445937e+02,1.705224221693861786e-01,0.000000000000000000e+00
9.674429273168604071e-03,3.303757116723650411e-02,3.270201123386207165e-01,7.286495028078583118e+02,1.714777113931018893e-01,0.000000000000000000e+00
9.736673654300151762e-03,3.384519452867888745e-02,3.306688812476754613e-01,7.271622566028435131e+02,1.728825174912671236e-01,0.000000000000000000e+00
9.810892400242885586e-03,3.484577236316303145e-02,3.351085279332562950e-01,7.253563367970839408e+02,1.745637249092139021e-01,0.000000000000000000e+00
9.885111146185621145e-03,3.588621898184555375e-02,3.396439697302567340e-01,7.235157380465287815e+02,1.762512994425449731e-01,0.000000000000000000e+00
9.959329892128356704e-03,3.696921312840617535e-02,3.442815603693135662e-01,7.216402391138185521e+02,1.779452735218665371e-01,0.000000000000000000e+00
1.003354863807109053e-02,3.809778444437080663e-02,3.490283750126078055e-01,7.197295978666198835e+02,1.796457071871870037e-01,0.000000000000000000e+00
1.010776738401382609e-02,3.927546032174906304e-02,3.538926541293397343e-01,7.177835266782892631e+02,1.813527155274163027e-01,0.000000000000000000e+00
1.018198612995655991e-02,4.051154357443179088e-02,3.588836696157152173e-01,7.158016790518441894e+02,1.830664138271965447e-01,0.000000000000000000e+00
1.020054081644224467e-02,4.083690180193504798e-02,3.601407319736475432e-01,7.153019099389931625e+02,1.834954398453246815e-01,0.000000000000000000e+00
1.023161326950675076e-02,4.139301650685838635e-02,3.622690507778818514e-01,7.144594374582525234e+02,1.842150135247853926e-01,0.000000000000000000e+00
1.027647832756855076e-02,4.222062669010350627e-02,3.653929597369489080e-01,7.132309760692334066e+02,1.852563681526682715e-01,0.000000000000000000e+00
1.032907766476832273e-02,4.322675642869375917e-02,3.691299503034374818e-01,7.117731505227397975e+02,1.864805957568421713e-01,0.000000000000000000e+00
1.038167700196809470e-02,4.427096430175380543e-02,3.729466941575700911e-01,7.102967383133674275e+02,1.877082656387843995e-01,0.000000000000000000e+00
1.043427633916786494e-02,4.535610672727482390e-02,3.768485567165204553e-01,7.088015199397533479e+02,1.889394255439542647e-01,0.000000000000000000e+00
1.048687567636763691e-02,4.648540363671541109e-02,3.808414965262870711e-01,7.072872436984848719e+02,1.901741222449087054e-01,0.000000000000000000e+00
1.053947501356740715e-02,4.766249686426268783e-02,3.849321470270877787e-01,7.057536226137892754e+02,1.914123892745858424e-01,0.000000000000000000e+00
1.059207435076717913e-02,4.889150528200130602e-02,3.891278648755591707e-01,7.042003350169816258e+02,1.926542413838975010e-01,0.000000000000000000e+00
1.060522418506712125e-02,4.920148075840894558e-02,3.901841716315714859e-01,7.038097904972056540e+02,1.929650270253696343e-01,0.000000000000000000e+00
1.062744772751520253e-02,4.973545057781834228e-02,3.919890194097589986e-01,7.031465806532856959e+02,1.934908660919074097e-01,0.000000000000000000e+00
1.066002811146372214e-02,5.054107128194629955e-02,3.946793729774510373e-01,7.021671936140879779e+02,1.942630924956728067e-01,0.000000000000000000e+00
1.069894144750339719e-02,5.153779501812189717e-02,3.979601572248113173e-01,7.009866908793898119e+02,1.951873888289711312e-01,0.000000000000000000e+00
1.073785478354307224e-02,5.257125342682055641e-02,4.013131401719441382e-01,6.997947825544761145e+02,1.961137200996954377e-01,0.000000000000000000e+00
1.077676811958274902e-02,5.364429447810064450e-02,4.047432238058538689e-01,6.985912505814438873e+02,1.970421065897474677e-01,0.000000000000000000e+00
1.081568145562242407e-02,5.476012810548534782e-02,4.082558889694199444e-01,6.973758498963504735e+02,1.979725763701296604e-01,0.000000000000000000e+00
1.085459479166209912e-02,5.592235062889890779e-02,4.118571783499129224e-01,6.961483065917767590e+02,1.989051454022638388e-01,0.000000000000000000e+00
1.089350812770177417e-02,5.713505404511909358e-02,4.155539207714336047e-01,6.949083146211261237e+02,1.998398357403188275e-01,0.000000000000000000e+00
1.090323646171169336e-02,5.744098813391629310e-02,4.164846091094391856e-01,6.945969799093942356e+02,2.000737011177642077e-01,0.000000000000000000e+00
1.091971690073069087e-02,5.796912140468984953e-02,4.180792921467705869e-01,6.940674862954258515e+02,2.004702443124552202e-01,0.000000000000000000e+00
1.094397391060580003e-02,5.876890379781685853e-02,4.204674537870729534e-01,6.932834751496958461e+02,2.010547001532488054e-01,0.000000000000000000e+00
1.097308760094799739e-02,5.976317011585839667e-02,4.233966485580373806e-01,6.923353579528040882e+02,2.017573678218022026e-01,0.000000000000000000e+00
1.100220129129019474e-02,6.079409262454581880e-02,4.263930868123086415e-01,6.913796415522990628e+02,2.024612808219716786e-01,0.000000000000000000e+00
1.103131498163239209e-02,6.186452186735409003e-02,4.294613749843544936e-01,6.904161147836795180e+02,2.031664596502805731e-01,0.000000000000000000e+00
1.106042867197458944e-02,6.297764544199815906e-02,4.326066234252319842e-01,6.894445415414722902e+02,2.038729260136392385e-01,0.000000000000000000e+00
1.108954236231678679e-02,6.413701163826060481e-02,4.358344445218068630e-01,6.884646577420732001e+02,2.045806889548429375e-01,0.000000000000000000e+00
1.111865605265898414e-02,6.534662647545423642e-02,4.391511387253407284e-01,6.874761667743421185e+02,2.052897693648681743e-01,0.000000000000000000e+00
1.112593447524453348e-02,6.565190682222961371e-02,4.399862398818865650e-01,6.872281517520096941e+02,2.054671603521430467e-01,0.000000000000000000e+00
1.113826936104473850e-02,6.617904444870993663e-02,4.414183449199551856e-01,6.868063710783417264e+02,2.057680130222976633e-01,0.000000000000000000e+00
1.115643695022152174e-02,6.697769568753418612e-02,4.435659161317173638e-01,6.861818320223741239e+02,2.062116282613543350e-01,0.000000000000000000e+00
1.117826256097259954e-02,6.797124667889621608e-02,4.462045263887324809e-01,6.854264482201625697e+02,2.067453165863009090e-01,0.000000000000000000e+00
1.120008817172367908e-02,6.900113493630299910e-02,4.489056087318187838e-01,6.846656070763318667e+02,2.072797918145853902e-01,0.000000000000000000e+00
1.122191378247475863e-02,7.007004530905104611e-02,4.516732495574595774e-01,6.838991031352603613e+02,2.078150685068073655e-01,0.000000000000000000e+00
1.124373939322583817e-02,7.118095548353170487e-02,4.545119556506970748e-01,6.831267061298461840e+02,2.083511672650284752e-01,0.000000000000000000e+00
1.126556500397691771e-02,7.233716147068675051e-02,4.574266722098907501e-01,6.823481567788384154e+02,2.088881100718065209e-01,0.000000000000000000e+00
1.128739061472799551e-02,7.354230461113574202e-02,4.604228005321862049e-01,6.815631626910472960e+02,2.094259151178628764e-01,0.000000000000000000e+00
1.129284701741576670e-02,7.384648237621843636e-02,4.611771639596431993e-01,6.813662582749565217e+02,2.095604454587786936e-01,0.000000000000000000e+00
1.130210010641634864e-02,7.437175656988904981e-02,4.624718186626591288e-01,6.810312257938978746e+02,2.097887305974309446e-01,0.000000000000000000e+00
1.131574587555377043e-02,7.516786328539286355e-02,4.644159893817849660e-01,6.805345984315526948e+02,2.101257161137432827e-01,0.000000000000000000e+00
1.133217392538009641e-02,7.615918927224989143e-02,4.668099631998631760e-01,6.799327587448700569e+02,2.105319095096782334e-01,0.000000000000000000e+00
1.134860197520642412e-02,7.718539297683676970e-02,4.692604424064178992e-01,6.793266525728640772e+02,2.109386277811261257e-01,0.000000000000000000e+00
1.136503002503275010e-02,7.824876878048747653e-02,4.717707055632429647e-01,6.787160773269256424e+02,2.113458846089017462e-01,0.000000000000000000e+00
1.138145807485907782e-02,7.935181531630357277e-02,4.743442999079551248e-01,6.781008071866381215e+02,2.117536964189726534e-01,0.000000000000000000e+00
1.139788612468540380e-02,8.049723862472385472e-02,4.769850260138639997e-01,6.774805897573268112e+02,2.121620813147670481e-01,0.000000000000000000e+00
1.141431417451172978e-02,8.168796808605417736e-02,4.796969515024479547e-01,6.768551425697862669e+02,2.125710586690595372e-01,0.000000000000000000e+00
1.143074222433805749e-02,8.292719468831473428e-02,4.824844719440712359e-01,6.762241485783065400e+02,2.129806511875385333e-01,0.000000000000000000e+00
1.143574222433805729e-02,8.330877387145635415e-02,4.833400908824287967e-01,6.760313394157167295e+02,2.131053929031086203e-01,0.000000000000000000e+00
1.144383432842234830e-02,8.393892919970845357e-02,4.847441690232744960e-01,6.757179592407271684e+02,2.133074233724084612e-01,0.000000000000000000e+00
1.145491925408544456e-02,8.482678406874792632e-02,4.867052160395637928e-01,6.752860177380881623e+02,2.135844560662395197e-01,0.000000000000000000e+00
1.146600417974854083e-02,8.574030822276022812e-02,4.887054913161923420e-01,6.748511492039798441e+02,2.138617909734896183e-01,0.000000000000000000e+00
1.147708910541163710e-02,8.668072364729992318e-02,4.907466026595767028e-01,6.744132137079750464e+02,2.141394356163109358e-01,0.000000000000000000e+00
1.148817403107473337e-02,8.764933083910614320e-02,4.928302576240302657e-01,6.739720592867172400e+02,2.144173999701839417e-01,0.000000000000000000e+00
1.149925895673782963e-02,8.864749157043952388e-02,4.949582217340572909e-01,6.735275206784267539e+02,2.146956956504601499e-01,0.000000000000000000e+00
1.151034388240092590e-02,8.967664481555359668e-02,4.971323482490372925e-01,6.730794180401780977e+02,2.149743354135573437e-01,0.000000000000000000e+00
1.152142880806402217e-02,9.073829991438760179e-02,4.993545592888029017e-01,6.726275553689981734e+02,2.152533311094878554e-01,0.000000000000000000e+00
1.153251373372711844e-02,9.183402386536151929e-02,5.016268161847855511e-01,6.721717191946662524e+02,2.155326957580784575e-01,0.000000000000000000e+00
1.154359865939021471e-02,9.296545494819039024e-02,5.039511445349111884e-01,6.717116773415798434e+02,2.158124415264779661e-01,0.000000000000000000e+00
1.155468358505331097e-02,9.413431391662886727e-02,5.063296529620047171e-01,6.712471768970979156e+02,2.160925841152506188e-01,0.000000000000000000e+00
1.156576851071640724e-02,9.534239435201907753e-02,5.087645096650772469e-01,6.707779420498503669e+02,2.163731408879561724e-01,0.000000000000000000e+00
1.157076851071640704e-02,9.589530118916896051e-02,5.098743708725906876e-01,6.705650601454159414e+02,2.164997926743159606e-01,0.000000000000000000e+00
1.157800397653065833e-02,9.671311205601006156e-02,5.115055304283809834e-01,6.702549420516756982e+02,2.166832445569842891e-01,0.000000000000000000e+00
1.158655766558960853e-02,9.770544510282229422e-02,5.134698954515323210e-01,6.698852260002979619e+02,2.169003782578759754e-01,0.000000000000000000e+00
1.159511135464855874e-02,9.872412206058055195e-02,5.154712645659723647e-01,6.695121642462472664e+02,2.171177858301656383e-01,0.000000000000000000e+00
1.160366504370750895e-02,9.977004407168284239e-02,5.175106452862924256e-01,6.691355862935481582e+02,2.173354731171042720e-01,0.000000000000000000e+00
1.161221873276645916e-02,1.009686267778602126e-01,5.197727538694960625e-01,6.687468810588161432e+02,2.175539059227351302e-01,0.000000000000000000e+00
1.162077242182540937e-02,1.022848072165576522e-01,5.221616769027462857e-01,6.683506199294305361e+02,2.177728326125148439e-01,0.000000000000000000e+00
1.162577242182540917e-02,1.030872277880975074e-01,5.235858904700944061e-01,6.681168271057999846e+02,2.179009539357209257e-01,0.000000000000000000e+00
1.163176031896770955e-02,1.040978489151368758e-01,5.253317327213026244e-01,6.678340260893460254e+02,2.180545845838483543e-01,0.000000000000000000e+00
1.163774821611001167e-02,1.051596764888736990e-01,5.271169315353355644e-01,6.675482133166674430e+02,2.182084221409613667e-01,0.000000000000000000e+00
1.164373611325231206e-02,1.062746442311187783e-01,5.289409718709318087e-01,6.672592591998302396e+02,2.183624739375959467e-01,0.000000000000000000e+00
1.164972401039461244e-02,1.075556148122157746e-01,5.309734894667174077e-01,6.669432840138348411e+02,2.185179837755581722e-01,0.000000000000000000e+00
1.165472401039461224e-02,1.086956516736572870e-01,5.327361962634539205e-01,6.666709319743300739e+02,2.186483210638037189e-01,0.000000000000000000e+00
1.165972401039461204e-02,1.098879004148223676e-01,5.345325467913059070e-01,6.663935833234343136e+02,2.187789576386825197e-01,0.000000000000000000e+00
1.166472401039461183e-02,1.111324823333640494e-01,5.363597881746022811e-01,6.661111813464225406e+02,2.189098923736891578e-01,0.000000000000000000e+00
