epsilonp_eq,sigma_eq
0,500.759613431464
8.99360234870523E-05,509.25446883751
0.000163535166762394,517.575586907377
0.000256151289012771,525.420926634266
0.000353594484884906,533.194944505025
0.000461327106142948,541.199405377623
0.000592938860766094,548.459690396404
0.000743353217714707,555.433522380036
0.00089577973362627,561.990567082315
0.00108124494478121,568.689559791826
0.00125431003922346,575.34617695764
0.00144303753130118,581.666695387067
0.00165652235129615,587.705059619144
0.00184022920369301,593.67439775884
0.00209818546442737,599.183666291156
0.00230755133860459,604.828124477895
0.00255730137193802,610.23528640655
0.00279572276968468,615.17147752717
0.00306980101988839,620.577301572942
0.00335397844506665,625.541638309943
0.00362458650147239,630.403002244671
0.00390756889769363,634.964260282878
0.0041736104760581,639.436180331728
0.00448464113784686,643.409809823779
0.00475648223137723,647.928056610446
0.00504951309490942,652.086745728992
0.005356603399096,655.924405570523
0.0057068227001715,660.231078409623
0.00605014569453895,663.46443087866
0.00637318758351748,667.309042749809
0.0066832617764667,671.2773484807
0.00702279941778047,674.666575141474
0.00738088657812283,677.948660729676
0.00772324850737668,681.520483904362
0.00808003087068563,684.730332115849
0.00843401754865119,687.747858925091
0.00878807494331369,691.150112430144
0.00917358057018031,693.835415432212
0.00952398661427871,697.139136028396
0.00987083373773098,699.741709739174
0.0102548189650076,702.869419418472
0.0106503959494853,705.613396981825
0.0110345228456411,708.215336608744
0.0114248977312525,710.916120854328
0.011809532965505,713.34534429887
0.0122170193997173,715.917945543773
0.0126062664447819,718.602002679685
0.01301232610172,720.657031735928
0.0133860930831025,723.224603343652
0.0138155976181317,725.755356053393
0.0142446396583327,727.900363845403
0.0146259630009611,730.612744908701
0.0150500887766212,732.48464988959
0.0154581452605696,734.510120658752
0.0158943502597021,736.30095168876
0.0162973031415502,738.314733641484
0.016700764327436,740.631270131068
0.0170984092689247,742.463644022062
0.0175372074765009,744.653753172823
0.0179480263636958,746.893211725445
0.0183877606736736,748.432728566527
0.0187839533691061,750.234080051944
0.0191908571146722,752.206577320845
0.0196112772480584,754.023414780387
0.0200495487216233,755.487390721444
0.0204563871183642,757.049514969893
0.020851905449937,759.02442792972
0.0213237947408256,760.465359623293
0.0217367458560043,762.673542953395
0.0221716539239526,764.086147733634
0.0226000398034155,765.596646495147
0.0230385052094563,766.639829399901
0.0234725434193648,768.550584828837
0.023921540815945,769.766333784108
0.0243387086374082,771.683359228943
0.0247608899907492,773.037713056579
0.0252106104948987,774.215780391079
0.0256614853904568,775.944854979826
0.0261241117897811,777.300674885246
0.0265560993410404,778.429315442438
0.026989445704185,779.615115684397
0.0274241128946197,781.024005860979
0.0278769840279668,782.481408812112
0.0283196826206468,783.569495490642
0.0287804586023082,784.866369533482
0.0292289646497806,786.24602671416
0.0297146120805956,787.306865400863
0.0301479478213347,788.623940387506
0.0305968104108207,789.740715316814
0.0310254774898281,791.130929799004
0.0314983040823885,791.924261752588
0.0319147924289254,793.284482115563
0.0323678789640279,794.358042313365
0.0328001542791616,795.610431913821
0.033262041532611,796.815049657923
0.0337250203148079,797.798906771292
0.0341718214296409,798.898619655374
0.0346206292837969,799.82532671101
0.0350581964170756,801.23123597716
0.0355027616946598,802.331680321849
0.0359788635854564,803.13760946167
0.0364137027465913,804.15365389316
0.0368645905175624,805.353599228805
0.0373077814825069,806.383517295306
0.0377533348190201,807.835110108867
0.0382114143606529,808.507074837088
0.0386562303609929,809.342101500225
0.039105813273855,810.259894726682
0.0395493642195293,811.400130223971
0.0400117774213034,812.209377650235
0.040451040747306,813.535362849614
0.0409088041524987,814.09280298697
0.0413459045822704,815.39068703953
0.0417984395772659,816.057065703902
0.0422702006514366,817.10437124201
0.0427148929460265,818.349307599698
0.0431859486966236,818.945534054268
0.0436206713053704,819.408400061915
0.044078988193955,820.618944211585
0.0445233605477845,821.523664902812
0.0449910560951245,822.231554119844
0.0454444627082723,823.130845841523
0.0458831816320264,824.120064992308
0.0463133602945796,825.164930660112
0.0467802132475818,825.677094870051
0.0472202782296988,826.646823629988
0.0476788488590693,827.485855241119
0.0481538355200664,828.059641083891
0.0485645699541018,828.854452209667
0.0490469802012778,829.808124587001
0.0494954055341504,830.782340382119
0.0499450803499802,831.645195171119
0.050411123852347,832.19129231411
0.0508615425111766,833.053018366082
0.0513399958052589,833.734853544837
0.0518087368052857,834.261732754996
0.0522570559081379,835.350057150324
0.052707796558504,835.848594933276
0.0531467176147614,836.019811319209
0.0535998558422336,837.655979122811
0.0540543353063671,838.343410178083
0.0545376610468354,838.822559199884
0.0550026671706092,839.488383355067
0.0554590609537404,840.124663218337
0.0559277378207143,840.933821265294
0.0563977298928096,841.175463123611
0.0568500370418356,842.165335470883
0.057324084287927,842.419376450024
0.0578155955995347,843.027338538568
0.058284030475724,843.872849300656
0.058739008665661,844.331049491032
0.0591655406338445,845.507468567976
0.0596316061088961,846.050092900593
0.0600913305266184,846.533397289363
0.0605568265952731,847.08472861193
0.0610052867218068,847.910721750513
0.0614823586160695,848.186610402659
0.0619611865263668,848.901924382925
0.0624161543771483,849.588867801313
0.0628733889075724,850.143557583882
0.0633306958803051,850.606933504139
0.0637990355905588,851.578825499992
0.0642553449228677,851.915865668998
0.0647230811973463,852.480878010455
0.0651654723712129,853.064806976876
0.0656550908837736,853.295875995675
0.0661071588844438,853.966212584485
0.0665560138703616,854.545108602277
0.0670209681603622,854.764189776507
0.0674612228025078,855.531946607722
0.0679537628684004,855.89009472191
0.0683845833674186,856.662151997009
0.0688266910649477,857.18793322414
0.0692830890664425,857.610953218746
0.0697522692609287,858.353762965458
