# Strain, f_max, p, Sigma, DeltaPhi, num_broken
6.749999999999999056e-03,5.163604911759125471e-04,2.021241802231777407e-01,9.388556798720252345e+02,1.089532582769542068e-01,0.000000000000000000e+00
7.249999999999999500e-03,6.069370546388345739e-04,2.288644750768795144e-01,9.238223271861668309e+02,1.209871137764953891e-01,0.000000000000000000e+00
7.749999999999999944e-03,7.224816890357162570e-04,2.566546222882785111e-01,9.081258614761625267e+02,1.331777765865773677e-01,0.000000000000000000e+00
8.250000000000000389e-03,8.705955367544879111e-04,2.854256753697620441e-01,8.919674837824753695e+02,1.455084861150922892e-01,0.000000000000000000e+00
8.750000000000000833e-03,1.061549325349687685e-03,3.151139653499098747e-01,8.754806620255211556e+02,1.579673701830166532e-01,0.000000000000000000e+00
9.250000000000001277e-03,1.309362546615504275e-03,3.456631504357869367e-01,8.587544705806831189e+02,1.705450618703555909e-01,0.000000000000000000e+00
9.750000000000001721e-03,1.633400960037341854e-03,3.770264042814952532e-01,8.418486772550322712e+02,1.832346701333779637e-01,0.000000000000000000e+00
1.025000000000000216e-02,2.060865121151302798e-03,4.091723010222545476e-01,8.248033331829259396e+02,1.960315470131996640e-01,0.000000000000000000e+00
1.075000000000000261e-02,2.630644094852451972e-03,4.420880698226675176e-01,8.076446576242936999e+02,2.089330136201231480e-01,0.000000000000000000e+00
1.125000000000000305e-02,3.399635696499563563e-03,4.757845412169567356e-01,7.903888918099337388e+02,2.219375032653144175e-01,0.000000000000000000e+00
1.175000000000000350e-02,4.453755410558426012e-03,5.103093713471746895e-01,7.730439628783068429e+02,2.350452650763083795e-01,0.000000000000000000e+00
1.225000000000000394e-02,5.927782093311858604e-03,5.457536342843359867e-01,7.556106045655640173e+02,2.482598192280732474e-01,0.000000000000000000e+00
1.237500000000000405e-02,6.323752562842324156e-03,5.546620757548857972e-01,7.512532818840448954e+02,2.515707751233259848e-01,0.000000000000000000e+00
1.257550369130869608e-02,7.043983647482656221e-03,5.690953002262246763e-01,7.442431781639857036e+02,2.568968275730069140e-01,0.000000000000000000e+00
1.283210208286043007e-02,8.140092077659748238e-03,5.878433762812922403e-01,7.352447319674180335e+02,2.637404977076067691e-01,0.000000000000000000e+00
1.308870047441216579e-02,9.453585123324026798e-03,6.068983442942772477e-01,7.262200491583616895e+02,2.706143393919304141e-01,0.000000000000000000e+00
1.315285007230009885e-02,9.795922295821784045e-03,6.116782830409660532e-01,7.239641083709807390e+02,2.723350157804048099e-01,0.000000000000000000e+00
1.325918847611814132e-02,1.040605988042689334e-02,6.196548660677216880e-01,7.202181126808161480e+02,2.751921046725781528e-01,0.000000000000000000e+00
1.340698422689792432e-02,1.134965866676500984e-02,6.308567573379821880e-01,7.150005640308186230e+02,2.791729771731318310e-01,0.000000000000000000e+00
1.355477997767770906e-02,1.240328968553422798e-02,6.421826909203633971e-01,7.097723203220411961e+02,2.831639053244876525e-01,0.000000000000000000e+00
1.370257572845749207e-02,1.358425395119266556e-02,6.536430991821757797e-01,7.045324801578548204e+02,2.871650239939279592e-01,0.000000000000000000e+00
1.385037147923727507e-02,1.491348574481883744e-02,6.652490210298134254e-01,6.992799728832071651e+02,2.911764427553387713e-01,0.000000000000000000e+00
1.388732041693222299e-02,1.525523016758910388e-02,6.681578411770804360e-01,6.979666653229749045e+02,2.921800309087040359e-01,0.000000000000000000e+00
1.394859119893757972e-02,1.584987064405349311e-02,6.730069484093106347e-01,6.957860939739003925e+02,2.938458790787568664e-01,0.000000000000000000e+00
1.403469867594328221e-02,1.674673370052670585e-02,6.798761837772624439e-01,6.927163219232407982e+02,2.961904476443107392e-01,0.000000000000000000e+00
1.412080615294898644e-02,1.771104440781063119e-02,6.868024422155719622e-01,6.896413627516559472e+02,2.985387213939988960e-01,0.000000000000000000e+00
1.420691362995469068e-02,1.874988304719954826e-02,6.937891963953133345e-01,6.865608844960645456e+02,3.008910250701207212e-01,0.000000000000000000e+00
1.429302110696039317e-02,1.987135058114433001e-02,7.008402861074786161e-01,6.834745032502744380e+02,3.032473924246689156e-01,0.000000000000000000e+00
1.437912858396609740e-02,2.108474776284987445e-02,7.079599693623027656e-01,6.803817723485333318e+02,3.056078211422547652e-01,0.000000000000000000e+00
1.440065545321752259e-02,2.139389285357989196e-02,7.097432533820952072e-01,6.796083794172359376e+02,3.061982344025232505e-01,0.000000000000000000e+00
1.443705426577250941e-02,2.193416842637033182e-02,7.127712793473277575e-01,6.782993469307762098e+02,3.071972270682597483e-01,0.000000000000000000e+00
1.449018650158044597e-02,2.276311824273628479e-02,7.172200027810196055e-01,6.763856616430248323e+02,3.086570190332625918e-01,0.000000000000000000e+00
1.455240701608021860e-02,2.379397093805668897e-02,7.224709252112477831e-01,6.741406286679950881e+02,3.103686821494219816e-01,0.000000000000000000e+00
1.461462753057999123e-02,2.489021545156609033e-02,7.277650094397588587e-01,6.718914032461208308e+02,3.120825790792320364e-01,0.000000000000000000e+00
1.467684804507976212e-02,2.605775200147888992e-02,7.331046609135224434e-01,6.696376897528141399e+02,3.137987087702424072e-01,0.000000000000000000e+00
1.473906855957953475e-02,2.730319358722587547e-02,7.384924839136567387e-01,6.673791558728015616e+02,3.155171249304534187e-01,0.000000000000000000e+00
1.475462368820447748e-02,2.761941553333126589e-02,7.398417282323175304e-01,6.668142952988798697e+02,3.159469058341570769e-01,0.000000000000000000e+00
1.478081507240866163e-02,2.816646987060601043e-02,7.421224724908210835e-01,6.658622348693887716e+02,3.166709289750937462e-01,0.000000000000000000e+00
1.481886973048890735e-02,2.899405114811635931e-02,7.454559307189074779e-01,6.644768815461030727e+02,3.177237360405685829e-01,0.000000000000000000e+00
1.486348572410012628e-02,3.001249614775399269e-02,7.493922000074528800e-01,6.628497373287883647e+02,3.189592520960098376e-01,0.000000000000000000e+00
1.490810171771134521e-02,3.108248196556119211e-02,7.533575743662345170e-01,6.612195240598522332e+02,3.201959861957160425e-01,0.000000000000000000e+00
1.495271771132256414e-02,3.220772416026679297e-02,7.573534637729898433e-01,6.595860510459600619e+02,3.214339572629373309e-01,0.000000000000000000e+00
1.499733370493378307e-02,3.339229078161612407e-02,7.613814063600649051e-01,6.579491077030343149e+02,3.226732001638269454e-01,0.000000000000000000e+00
1.504194969854500200e-02,3.464057704690980816e-02,7.654429609356678821e-01,6.563084622266682118e+02,3.239136671273650792e-01,0.000000000000000000e+00
1.505310369694780673e-02,3.495657139780582873e-02,7.664598911150193317e-01,6.558980859837013213e+02,3.242238782469982206e-01,0.000000000000000000e+00
1.507188709326822730e-02,3.550056010382143801e-02,7.681787427222163123e-01,6.552063009548462560e+02,3.247465185803530274e-01,0.000000000000000000e+00
1.509923593045014480e-02,3.631889902884045951e-02,7.706950510332160054e-01,6.541975041021205470e+02,3.255078664781685394e-01,0.000000000000000000e+00
1.513155298679400886e-02,3.732469111099345760e-02,7.736883462301533676e-01,6.530032018049254248e+02,3.264082509619267158e-01,0.000000000000000000e+00
1.516387004313787291e-02,3.837135090829209283e-02,7.767019760489941582e-01,6.518065397786238009e+02,3.273093019512026691e-01,0.000000000000000000e+00
1.519618709948173697e-02,3.946117443633914701e-02,7.797367978146508838e-01,6.506073905636436621e+02,3.282110349448966735e-01,0.000000000000000000e+00
1.522850415582560103e-02,4.059660169823441772e-02,7.827937154792207197e-01,6.494056136550480005e+02,3.291134629592870620e-01,0.000000000000000000e+00
1.526082121216946509e-02,4.178022726641426182e-02,7.858736811319012583e-01,6.482010568851965218e+02,3.300165982789854402e-01,0.000000000000000000e+00
1.529313826851332915e-02,4.301480369425204203e-02,7.889777036307420444e-01,6.469935556315418808e+02,3.309204601597480755e-01,0.000000000000000000e+00
